Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
310011,1835/10/28,"3 h 45 min","BIGORRE (GEDRE)","PYRENEES CENTRALES",,476838.54,6211340.11,42.97,0.27,6.5,ARBITRAIRE
790023,1836/05/13,"5 h 3 min","GATINE (E. COULONGES-SUR-L'AUTIZE)",POITOU,,429119.99,6606061.55,46.50,-0.53,5.5,ARBITRAIRE
300004,1836/09/16,"12 h 45 min","COSTIERE (VAUVERT)",CEVENNES,,804751.17,6293563.11,43.73,4.30,5,INCERTAINE
380020,1837/01/29,"1 h 50 min","BELLEDONNE (VIZILLE)",DAUPHINE,,917642.81,6446487.50,45.08,5.77,4.5,"INFORMATION ISOLÉE"
180007,1837/05,,"VAL DE GERMIGNY (ST-AMAND-MONTROND)",BERRY,,645241.33,6622460.04,46.70,2.28,5,INCERTAINE
140013,1837/10/11,"19 h 30 min","PLAINE DE CAEN (BOURGUEBUS)",NORMANDIE,,459222.91,6897647.59,49.13,-0.30,4,INCERTAINE
680044,1837/10/30,"22 h 45 min","PLAINE DE HAUTE-ALSACE (N-E. MULHOUSE)",ALSACE,PRECURSEUR,1033677.50,6763099.95,47.88,7.47,4.5,ARBITRAIRE
680045,1837/11/12,"22 h","PLAINE DE HAUTE-ALSACE (N-E. MULHOUSE)",ALSACE,,1033677.50,6763099.95,47.88,7.47,5,INCERTAINE
90007,1837/12/11,"3 h 7 min","RAZES (CHALABRE)",LANGUEDOC,,616980.50,6208011.75,42.97,1.98,4,"ASSEZ SURE"
230001,1838/01/23,"4 h","HAUTE-MARCHE (CHAMBON-SUR-VOUEIZE)",LIMOUSIN,,655004.95,6564999.32,46.18,2.42,4.5,"ASSEZ SURE"
660030,1838/02/19,"18 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",,656322.77,6189090.86,42.80,2.47,5.5,"ASSEZ SURE"
380021,1838/05/22,"7 h","VERCORS (MEAUDRE)",DAUPHINE,"GROUPE DE SECOUSSES D UN ESSAIM",899115.80,6451421.70,45.13,5.53,6.5,"INFORMATION ISOLÉE"
650068,1838/09/24,"1 h 45 min","LAVEDAN (CAUTERETS)","PYRENEES CENTRALES",,445191.03,6203239.95,42.88,-0.12,4,"INFORMATION ISOLÉE"
170048,1838/12/21,"20 h","AUNIS (LA ROCHELLE)",CHARENTES,,379939.40,6571394.93,46.17,-1.15,5,"INFORMATION ISOLÉE"
630030,1839/02/10,"20 h 30 min","LIMAGNE (AIGUEPERSE)",AUVERGNE,,715473.89,6546344.33,46.02,3.20,5.5,INCERTAINE
730018,1839/02/27,"15 h 30 min","MAURIENNE (ST-JEAN-DE-MAURIENNE)","ALPES SAVOYARDES","GROUPE DE SECOUSSES D UN ESSAIM",962564.12,6470456.72,45.28,6.35,5,"INFORMATION ISOLÉE"
730031,1839/03/26,"15 h 50 min","MAURIENNE (ST-JEAN-DE-MAURIENNE)","ALPES SAVOYARDES","GROUPE DE SECOUSSES D UN ESSAIM",951189.06,6460721.87,45.20,6.20,5.5,INCERTAINE
380023,1839/04/03,"18 h 30 min","GRESIVAUDAN (DOMENE)",DAUPHINE,,923727.92,6459669.34,45.20,5.85,6,"ASSEZ SURE"
740024,1839/08/11,"20 h","AVANT-PAYS SAVOYARD (ANNECY)","ALPES SAVOYARDES",,942874.79,6538188.25,45.90,6.13,7,INCERTAINE
650069,1840/01/05,"23 h 45 min","HAUT-COMMINGES ?","PYRENEES CENTRALES",,509595.50,6213997.13,43.00,0.67,7,ARBITRAIRE
440025,1840/03/22,"15 h 30 min","PAYS DE REDON (REDON)",BRETAGNE,,312525.32,6742267.83,47.67,-2.17,5,ARBITRAIRE
370012,1840/06/08,"21 h 45 min","LOUDUNOIS ?",POITOU,,474209.21,6648666.16,46.90,0.03,5,ARBITRAIRE
840044,1840/09/02,"20 h 20 min","COTES DU RHONE (ROQUEMAURE)",CEVENNES,,841520.10,6331323.74,44.07,4.77,5.5,INCERTAINE
300007,1840/11/09,"7 h","GARRIGUES (BARJAC)",CEVENNES,,807671.61,6358436.14,44.32,4.35,4.5,INCERTAINE
490046,1841/04/03,"13 h","VALLEE DU LOIR (SEICHES)",ANJOU,,447018.17,6725722.35,47.58,-0.37,4,"INFORMATION ISOLÉE"
360005,1841/06/29,"10 h 5 min","BRENNE (CHATILLON-SUR-INDRE)",BERRY,PRECURSEUR,565644.13,6651480.51,46.95,1.23,3,"INFORMATION ISOLÉE"
360006,1841/06/30,"11 h 15 min","BRENNE (CHATILLON-SUR-INDRE)",BERRY,"GROUPE DE SECOUSSES D UN ESSAIM",569405.80,6649545.92,46.93,1.28,4,"ASSEZ SURE"
360008,1841/07/05,"0 h 30 min","BRENNE (CHATILLON-SUR-INDRE)",BERRY,"GROUPE DE SECOUSSES D UN ESSAIM",569405.80,6649545.92,46.93,1.28,7,SURE
360009,1841/07/05,"3 h 30 min","BRENNE (CHATILLON-SUR-INDRE)",BERRY,REPLIQUE,569405.80,6649545.92,46.93,1.28,4,INCERTAINE
730081,1841/12/02,"19 h 53 min","ALBANAIS (RUMILLY)","ALPES SAVOYARDES",,926566.68,6524597.76,45.78,5.92,6.5,INCERTAINE
730082,1841/12/09,"23 h 32 min","BUGEY (ARTEMARE)","BRESSE ET JURA BRESSAN",,908134.16,6533203.97,45.87,5.68,5,INCERTAINE
380107,1842/04/27,"13 h","GRESIVAUDAN (GRENOBLE)",DAUPHINE,,913329.05,6457450.46,45.18,5.72,3.5,"INFORMATION ISOLÉE"
220008,1842/09/29,,"PAYS DINANNAIS (DINAN)",BRETAGNE,,326826.12,6828573.41,48.45,-2.05,3,"INFORMATION ISOLÉE"
650070,1843/03/31,"20 h 30 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,6,"INFORMATION ISOLÉE"
80002,1843/04/08,,"VALLEE DU CHIERS (OLIZY)",ARDENNE,,860406.83,6943075.22,49.57,5.22,4,"ASSEZ SURE"
690006,1843/04/20,,"LYONNAIS (COLLONGES)",FOREZ-LYONNAIS,,842346.95,6525767.22,45.82,4.83,4.5,"ASSEZ SURE"
640215,1843/06/28,"21 h 27 min","PAYS BASQUE (TARDETS-SORHOLUS)","PYRENEES OCCIDENTALES",,385187.61,6231864.97,43.12,-0.87,5.5,INCERTAINE
440027,1843/07/28,"4 h 15 min","PAYS DE NANTES (NANTES)","PAYS NANTAIS ET VENDEEN",,355838.71,6689515.23,47.22,-1.55,4,"INFORMATION ISOLÉE"
250006,1843/09/06,"9 h 28 min","VALLEE DU DOUBS (SOULCE)",FRANCHE-COMTE,,991975.34,6697855.01,47.32,6.87,5,"INFORMATION ISOLÉE"
350018,1843/10/05,"9 h","BASSIN DE RENNES (CHATEAUGIRON)",BRETAGNE,,360957.29,6778246.69,48.02,-1.55,5,INCERTAINE
350019,1843/10/06,"9 h 30 min","BASSIN DE RENNES (CHATEAUGIRON)",BRETAGNE,REPLIQUE,360957.29,6778246.69,48.02,-1.55,4,INCERTAINE
380106,1843/12/09,"13 h","BAS-PLATEAUX DAUPHINOIS (VIENNE)",DAUPHINE,,846978.81,6494402.85,45.53,4.88,4,"INFORMATION ISOLÉE"
630037,1844/01/01,"10 h","MONTS-DORE (CHAMBON-SUR-LAC)",AUVERGNE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",688303.17,6498213.72,45.58,2.85,4,INCERTAINE
630039,1844/01/03,"23 h","MONTS-DORE (CHAMBON-SUR-LAC)",AUVERGNE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",690899.70,6496358.53,45.57,2.88,5.5,INCERTAINE
40035,1844/02/24,"2 h 10 min","UBAYE (BARCELONNETTE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM",990680.43,6371641.23,44.38,6.65,4,"INFORMATION ISOLÉE"
860012,1844/06/03,"22 h 45 min","PLAINES DU HAUT-POITOU (POITIERS)",POITOU,,497120.83,6612659.32,46.58,0.35,4,"INFORMATION ISOLÉE"
740028,1844/12/10,"1 h","CHAUTAGNE ?","ALPES SAVOYARDES",,919764.12,6533610.40,45.87,5.83,5,INCERTAINE
640218,1844/12/11,"5 h 45 min","OSSAU (LARUNS)","PYRENEES OCCIDENTALES",,419880.87,6217274.54,43.00,-0.43,5,INCERTAINE
350020,1845/01/15,"20 h 30 min","PAYS MALOUIN (ST-MALO)",BRETAGNE,,330579.89,6848755.55,48.63,-2.02,3.5,"INFORMATION ISOLÉE"
560063,1845/03/25,"11 h","PAYS DE LA VILAINE (PEAULE-QUESTEMBERT)",BRETAGNE,,294673.60,6737896.65,47.62,-2.40,5,INCERTAINE
170049,1845/05/14,"20 h 15 min","AUNIS (LA ROCHELLE)",CHARENTES,,379939.40,6571394.93,46.17,-1.15,4,"INFORMATION ISOLÉE"
760037,1845/07/25,"19 h 30 min","PAYS DE CAUX (YVETOT)",NORMANDIE,,543464.87,6952244.63,49.65,0.83,4,"ASSEZ SURE"
860013,1846/11/14,"12 h 35 min","CHATELLERAUDAIS (LES ORMES)",POITOU,,517604.23,6656451.77,46.98,0.60,5.5,"ASSEZ SURE"
130052,1846/12/12,"10 h 15 min","BASSE-PROVENCE (GEMENOS)",PROVENCE,"GROUPE DE SECOUSSES D UN ESSAIM",913764.42,6248101.90,43.30,5.63,6,INCERTAINE
740029,1847/03/05,"23 h 22 min","AVANT-PAYS SAVOYARD (ANNECY)","ALPES SAVOYARDES",,942874.79,6538188.25,45.90,6.13,4,"INFORMATION ISOLÉE"
760040,1847/07/10,"22 h 50 min","PAYS DE CAUX (FECAMP)",NORMANDIE,"GROUPE DE SECOUSSES D UN ESSAIM",513493.23,6956857.60,49.68,0.42,6,SURE
130137,1847/07/19,"14 h","BASSIN D'AIX-EN-PROVENCE (AIX-EN-PROVENCE)",PROVENCE,,898082.47,6273546.49,43.53,5.45,3,"INFORMATION ISOLÉE"
360012,1847/10/14,"21 h","BRENNE (ST-GAULTIER)",BERRY,,578879.62,6616021.93,46.63,1.42,5,INCERTAINE
240001,1847/10/15,"7 h 52 min","VALLEE DE LA DORDOGNE (SIORAC)",GUYENNE,,539315.71,6416976.65,44.83,0.97,5.5,"ASSEZ SURE"
260053,1847/11/30,"6 h 30 min","PLAINE DE VALENCE (ROMANS-SUR-ISERE)",DAUPHINE,,870609.01,6439461.93,45.03,5.17,5.5,"ASSEZ SURE"
220009,1847/12/09,"2 h","PAYS DINANNAIS (DINAN)",BRETAGNE,,328764.17,6839588.35,48.55,-2.03,4,"ASSEZ SURE"
390007,1848/05/16,"5 h","PLATEAUX JURASSIENS (NOZEROY)",FRANCHE-COMTE,,931430.94,6634061.38,46.77,6.03,5.5,"ASSEZ SURE"
650071,1848/09/11,,"BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,5,"INFORMATION ISOLÉE"
530001,1848/11/13,"17 h 30 min","BASSIN DE LAVAL (GESNES)",MAINE,,434926.20,6791132.68,48.17,-0.57,5,"ASSEZ SURE"
760041,1848/12/30,"18 h 30 min","ESTUAIRE DE LA SEINE (ST-VIGOR-D'YMONVILLE)",NORMANDIE,"GROUPE DE SECOUSSES D UN ESSAIM",509204.51,6936587.20,49.50,0.37,6,INCERTAINE
390008,1849/02/03,"11 h","PLATEAUX JURASSIENS (LONS-LE-SAUNIER)",FRANCHE-COMTE,,894389.34,6638307.83,46.82,5.55,5,"ASSEZ SURE"
290008,1849/05/26,"22 h","PAYS DE BREST (BREST)",BRETAGNE,"GROUPE DE SECOUSSES D UN ESSAIM",142202.62,6839618.37,48.42,-4.55,5,INCERTAINE
380025,1849/08/03,"22 h 25 min","VERCORS (LA MOTTE-D'AVEILLANS)",DAUPHINE,,914220.45,6431551.14,44.95,5.72,5.5,INCERTAINE
730091,1849/10/01,"0 h 30 min","MAURIENNE (BONVILLARD)","ALPES SAVOYARDES",,958787.29,6498085.71,45.53,6.32,6,INCERTAINE
140015,1849/11/12,"4 h 40 min","PLAINE DE CAEN (CAEN)",NORMANDIE,,453384.60,6903461.14,49.18,-0.38,5,"ASSEZ SURE"
290009,1849/11/17,"4 h 40 min","PAYS DE BREST (BREST)",BRETAGNE,,146762.57,6835460.95,48.38,-4.48,5,"INFORMATION ISOLÉE"
840120,1850/09/01,"3 h","COMTAT (CARPENTRAS)",VAUCLUSE,,864260.01,6330021.03,44.05,5.05,5,"INFORMATION ISOLÉE"
650072,1850/11/17,"16 h","BIGORRE (ST-PE-DE-BIGORRE)","PYRENEES CENTRALES",,442071.27,6227475.04,43.10,-0.17,7,"ASSEZ SURE"
380027,1851/01/07,"23 h 30 min","GRESIVAUDAN (GRENOBLE)",DAUPHINE,,912210.61,6451855.80,45.13,5.70,5,INCERTAINE
220010,1851/03/12,"2 h","PENTHIEVRE (ST-BRIEUC)",BRETAGNE,,274496.47,6839591.26,48.52,-2.77,4,"INFORMATION ISOLÉE"
880014,1851/07/12,"15 h 40 min 50 sec","HAUTES-VOSGES (REMIREMONT)",VOSGES,,970450.92,6782107.36,48.08,6.63,5,"ASSEZ SURE"
290010,1851/10/13,"21 h","CORNOUAILLE (AUDIERNE)",BRETAGNE,,139195.46,6795247.57,48.02,-4.53,5,INCERTAINE
640228,1851/10/22,"4 h 48 min","BEARN (GAN)","PYRENEES OCCIDENTALES",,427854.58,6244752.57,43.25,-0.35,5,"ASSEZ SURE"
640229,1851/10/22,"6 h","BEARN (GAN)","PYRENEES OCCIDENTALES",REPLIQUE,429285.95,6246546.47,43.27,-0.33,3,"INFORMATION ISOLÉE"
490047,1851/12/03,"23 h","SAUMUROIS (SAUMUR)",ANJOU,,466851.90,6687851.95,47.25,-0.08,3,"INFORMATION ISOLÉE"
330019,1852/01/25,"2 h","ENTRE-DEUX-MERS, BORDELAIS",GUYENNE,PRECURSEUR,416976.73,6423181.82,44.85,-0.58,3,"INFORMATION ISOLÉE"
330013,1852/01/26,"2 h 16 min","ENTRE-DEUX-MERS, BORDELAIS",GUYENNE,,425114.76,6428376.43,44.90,-0.48,6,SURE
440071,1852/04/09,,"PAYS DE NANTES (NANTES)","PAYS NANTAIS ET VENDEEN",,355838.71,6689515.23,47.22,-1.55,4.5,"INFORMATION ISOLÉE"
850009,1852/05/26,"0 h 30 min","BOCAGE VENDEEN (LA ROCHE-SUR-YON)","PAYS NANTAIS ET VENDEEN",,361226.06,6628022.29,46.67,-1.43,5,"INFORMATION ISOLÉE"
880015,1852/10/25,,"HAUTES-VOSGES (EPINAL)",VOSGES,,956327.86,6792597.84,48.18,6.45,4,"INFORMATION ISOLÉE"
260054,1852/11/20,"3 h","TRICASTIN (DIEULEFIT)",DAUPHINE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",861542.28,6383664.76,44.53,5.03,4.5,INCERTAINE
260056,1852/11/22,"13 h","TRICASTIN (DIEULEFIT)",DAUPHINE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",864238.42,6381882.83,44.52,5.07,6.5,"INFORMATION ISOLÉE"
530003,1852/12/14,"6 h 40 min","CRAONNAIS ET SEGREEN",ANJOU,,426255.58,6737766.29,47.68,-0.65,5,INCERTAINE
330023,1852/12/21,"21 h 45 min","ENTRE-DEUX-MERS, BORDELAIS",GUYENNE,,426266.61,6424619.87,44.87,-0.47,4.5,INCERTAINE
840047,1852/12/25,"22 h","BASSE-DURANCE (BEAUMONT-DE-PERTUIS)",VAUCLUSE,PRECURSEUR,916185.29,6296374.41,43.73,5.68,5,"INFORMATION ISOLÉE"
840048,1852/12/26,"2 h","BASSE-DURANCE (BEAUMONT-DE-PERTUIS)",VAUCLUSE,,916185.29,6296374.41,43.73,5.68,5.5,"INFORMATION ISOLÉE"
140016,1853/01/06,"5 h","MAYENNAIS ?",MAINE,,415482.21,6799461.63,48.23,-0.83,5,INCERTAINE
500023,1853/04/01,"22 h 45 min","BOCAGE NORMAND (COUTANCES)",NORMANDIE,,365032.64,6891217.94,49.03,-1.58,6.5,INCERTAINE
640233,1853/07/11,"1 h 24 min","PAYS BASQUE (ST-JEAN-DE-LUZ)","PYRENEES OCCIDENTALES",,323223.26,6264897.69,43.38,-1.65,5,INCERTAINE
440029,1853/12/21,"19 h 3 min","COTE VENDEENNE (W. LES SABLES D'OLONNE)","PAYS NANTAIS ET VENDEEN",,297675.37,6613379.67,46.50,-2.25,5.5,ARBITRAIRE
560006,1854/02/03,"7 h 15 min","VANNETAIS (AURAY ?)",BRETAGNE,,239349.61,6753089.78,47.72,-3.15,4.5,INCERTAINE
630041,1854/04/30,"23 h","COMBRAILLE (N-E. MONTAIGUT)",AUVERGNE,,688436.77,6568545.90,46.22,2.85,5,INCERTAINE
650087,1854/07/20,"2 h 45 min","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,451282.88,6219694.08,43.03,-0.05,7.5,SURE
650092,1854/07/20,"23 h 15 min","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",REPLIQUE,451282.88,6219694.08,43.03,-0.05,5.5,ARBITRAIRE
650093,1854/07/21,"3 h","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",REPLIQUE,451282.88,6219694.08,43.03,-0.05,4.5,ARBITRAIRE
870016,1854/07/31,"21 h","PLATEAU DU LIMOUSIN (S. BOISSEUIL ?)",LIMOUSIN,,574473.31,6525399.71,45.82,1.38,4.5,INCERTAINE
650097,1854/11/19,"6 h","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",REPLIQUE,451282.88,6219694.08,43.03,-0.05,4,INCERTAINE
1130493,1854/12/29,"1 h","RIVIERA DI PONENTE (SAN REMO)",ITALIE,PRECURSEUR,1043847.06,6298288.46,43.70,7.27,4.5,"INFORMATION ISOLÉE"
1130017,1855/01/05,"7 h","RIVIERA DI PONENTE (SAN REMO)",ITALIE,REPLIQUE,1043847.06,6298288.46,43.70,7.27,2.5,"INFORMATION ISOLÉE"
1130018,1855/01/05,"8 h 30 min","RIVIERA DI PONENTE (SAN REMO)",ITALIE,REPLIQUE,1043847.06,6298288.46,43.70,7.27,2.5,"INFORMATION ISOLÉE"
650098,1855/01/22,"18 h","LAVEDAN (CAUTERETS)","PYRENEES CENTRALES",,445191.03,6203239.95,42.88,-0.12,5,"INFORMATION ISOLÉE"
1130020,1855/02/05,"14 h 15 min","MEDITERRANEE (S-W NICE ?)","ALPES MARITIMES",,1037824.19,6284981.27,43.58,7.18,4,INCERTAINE
730098,1855/02/13,"10 h 27 min","TARENTAISE (MOUTIERS)","ALPES SAVOYARDES","GROUPE DE SECOUSSES D UN ESSAIM",973575.05,6487608.68,45.43,6.50,6,INCERTAINE
570024,1855/03/12,"16 h 15 min","BASSIN SARROIS (ALBESTROFF)",LORRAINE,,981961.13,6877248.11,48.93,6.85,5,"INFORMATION ISOLÉE"
210016,1855/03/13,"22 h 50 min","PLAINE DE HAUTE-BOURGOGNE (FONTAINE-FRANC.)",BOURGOGNE,,878032.44,6717441.90,47.53,5.37,4,"INFORMATION ISOLÉE"
300008,1855/05/12,"22 h 20 min","COSTIERE (ST-GENIES-DE-COMOLAS)",CEVENNES,,841685.81,6323918.21,44.00,4.77,5,ARBITRAIRE
440030,1855/07/25,"23 h 55 min","ESTUAIRE DE LA LOIRE (PAIMBOEUF)","PAYS NANTAIS ET VENDEEN",,319798.34,6699123.78,47.28,-2.03,3,"INFORMATION ISOLÉE"
760043,1855/08/19,"6 h","ESTUAIRE DE LA SEINE (LE HAVRE)",NORMANDIE,,489959.81,6939117.40,49.52,0.10,4,"ASSEZ SURE"
370013,1855/09/13,"0 h 30 min","PLATEAU DE SAINTE-MAURE (TAUXIGNY)",TOURAINE,,538565.33,6681777.68,47.22,0.87,5,INCERTAINE
40037,1855/11/23,"15 h 15 min","HAUT-VERDON (CASTELLANE)","ALPES PROVENCALES",PRECURSEUR,982707.30,6311961.93,43.85,6.52,7,"INFORMATION ISOLÉE"
310014,1855/12/05,"18 h 48 min","HAUT-COMMINGES (NESTE-D'OUEIL)","PYRENEES CENTRALES",,495412.86,6195889.26,42.83,0.50,7,"ASSEZ SURE"
40039,1855/12/12,"20 h 40 min","HAUT-VERDON (CHASTEUIL)","ALPES PROVENCALES",,976012.30,6311667.10,43.85,6.43,8,"ASSEZ SURE"
40196,1855/12/12,"21 h 50 min","HAUT-VERDON (CHASTEUIL)","ALPES PROVENCALES",REPLIQUE,976012.30,6311667.10,43.85,6.43,6,ARBITRAIRE
170053,1856/11/26,"22 h 30 min","SAINTONGE (SAINTES)",CHARENTES,,417627.86,6523208.84,45.75,-0.63,4,"INFORMATION ISOLÉE"
260195,1856/12/27,"1 h 30 min","VERCORS (CHATEAUDOUBLE)",DAUPHINE,,865803.75,6422666.06,44.88,5.10,6,"ASSEZ SURE"
590008,1857/01/24,"7 h 3 min","CAMBRESIS (RUMILLY)",FLANDRE-ARTOIS,,717899.51,7002073.19,50.12,3.25,5,SURE
690007,1857/01/25,"9 h 15 min","DOMBES (MIRIBEL)","BRESSE ET JURA BRESSAN",,850109.82,6525952.41,45.82,4.93,5,"ASSEZ SURE"
170054,1857/02/01,"22 h","AUNIS (LA ROCHELLE)",CHARENTES,,382314.90,6567563.62,46.13,-1.12,4,"ASSEZ SURE"
250008,1857/02/14,"4 h 45 min","PAYS DE MONTBELIARD",FRANCHE-COMTE,,995898.97,6720293.52,47.52,6.93,5,SURE
630042,1857/06/16,"2 h 20 min","HAUTE-MARCHE (S. AUBUSSON ?)",LIMOUSIN,,634217.26,6544827.92,46.00,2.15,6,ARBITRAIRE
630043,1857/06/16,"11 h 28 min","MONTS-DORE (E. PONTGIBAUD)",AUVERGNE,,701293.03,6529667.32,45.87,3.02,5.5,"ASSEZ SURE"
630044,1857/06/16,"11 h 40 min","MONTS-DORE (E. PONTGIBAUD)",AUVERGNE,REPLIQUE,701293.03,6529667.32,45.87,3.02,4,INCERTAINE
130138,1857/06/22,"5 h","BASSE-PROVENCE (MARSEILLE)",PROVENCE,,894885.72,6245646.27,43.28,5.40,3.5,"INFORMATION ISOLÉE"
900006,1858/06/17,"10 h","TERRITOIRE DE BELFORT (BEAUCOURT)",FRANCHE-COMTE,,994738.04,6718381.91,47.50,6.92,4.5,"ASSEZ SURE"
200022,1858/08,,BALAGNE,CORSE,,1183442.54,6179155.62,42.55,8.88,4.5,INCERTAINE
880016,1858/09,"17 h","HAUTES-VOSGES (REMIREMONT)",VOSGES,,973188.31,6776671.73,48.03,6.67,3.5,INCERTAINE
880017,1858/10/16,"14 h","HAUTES-VOSGES (REMIREMONT)",VOSGES,,973188.31,6776671.73,48.03,6.67,5,INCERTAINE
640238,1858/11/29,"13 h","PAYS BASQUE (ST-JEAN-LE-VIEUX)","PYRENEES OCCIDENTALES",,360979.83,6236808.18,43.15,-1.17,6.5,"ASSEZ SURE"
640240,1858/12/14,"2 h","PAYS BASQUE (ST-JEAN-LE-VIEUX)","PYRENEES OCCIDENTALES",REPLIQUE,358368.76,6238802.23,43.17,-1.20,5,"INFORMATION ISOLÉE"
840051,1858/12/17,"8 h 30 min","BASSE-DURANCE (MIRABEAU)",VAUCLUSE,,913625.09,6292581.45,43.70,5.65,6,"INFORMATION ISOLÉE"
490050,1859/02/14,"18 h 30 min","SAUMUROIS (SAUMUR)",ANJOU,,466779.62,6686002.01,47.23,-0.08,4,INCERTAINE
640248,1859/03/05,"10 h 45 min","PAYS BASQUE (ST-JEAN-LE-VIEUX)","PYRENEES OCCIDENTALES",REPLIQUE,358368.76,6238802.23,43.17,-1.20,5,"INFORMATION ISOLÉE"
880018,1859/04/06,"22 h 45 min","HAUTES-VOSGES (W. PLOMBIERES)",VOSGES,,946041.01,6771765.71,48.00,6.30,5,ARBITRAIRE
430013,1859/05/13,"20 h 15 min","VELAY (MONISTROL-SUR-LOIRE)",AUVERGNE,"GROUPE DE SECOUSSES D UN ESSAIM",791464.38,6465561.92,45.28,4.17,5,INCERTAINE
840083,1859/07/02,"3 h","BASSE-DURANCE (MIRABEAU)",VAUCLUSE,,913625.09,6292581.45,43.70,5.65,4,"INFORMATION ISOLÉE"
690008,1859/10/25,"23 h","COTE BEAUJOLAISE (VILLEFRANCHE/SAONE)",FOREZ-LYONNAIS,"GROUPE DE SECOUSSES D UN ESSAIM",832887.69,6544067.55,45.98,4.72,4,"INFORMATION ISOLÉE"
640461,1860/01/30,"2 h 45 min","PAYS BASQUE (ST-JEAN-PIED-DE-PORT)","PYRENEES OCCIDENTALES",,347330.79,6235687.82,43.13,-1.33,5,INCERTAINE
560008,1860/03/24,"4 h","ILE DE BELLE-ILE",BRETAGNE,,234781.35,6710731.24,47.33,-3.17,5,"ASSEZ SURE"
150016,1861/02/25,"14 h","MARGERIDE (SOULAGES)",AUVERGNE,,720981.90,6442709.68,45.08,3.27,4.5,"INFORMATION ISOLÉE"
520011,1861/04/11,"23 h","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,2,"INFORMATION ISOLÉE"
520012,1861/04/12,"3 h 10 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,5,INCERTAINE
520013,1861/04/12,"5 h 15 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,3,"INFORMATION ISOLÉE"
520014,1861/04/14,"1 h 27 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,4,"INFORMATION ISOLÉE"
520015,1861/04/15,"5 h 30 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,2,"INFORMATION ISOLÉE"
520016,1861/04/15,"13 h 20 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,4,"INFORMATION ISOLÉE"
520017,1861/04/15,"18 h","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,2,"INFORMATION ISOLÉE"
520018,1861/04/15,"20 h 30 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,2,"INFORMATION ISOLÉE"
520019,1861/04/16,"5 h 15 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,PRECURSEUR,905245.87,6764642.05,47.95,5.75,4,"INFORMATION ISOLÉE"
520021,1861/04/20,"17 h 45 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,,905245.87,6764642.05,47.95,5.75,5,"INFORMATION ISOLÉE"
520040,1861/05/05,"22 h 10 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,REPLIQUE,905245.87,6764642.05,47.95,5.75,3.5,"INFORMATION ISOLÉE"
520027,1861/05/06,"1 h 10 min","PLATEAU DE HAUTE-SAONE (BOURBONNE-LES-BAINS)",CHAMPAGNE,REPLIQUE,905245.87,6764642.05,47.95,5.75,4,"INFORMATION ISOLÉE"
380031,1861/07/28,"23 h","BELLEDONNE (VIZILLE)",DAUPHINE,,917707.65,6444637.66,45.07,5.77,4.5,INCERTAINE
